         ;0
 XXXOOO  ;1101
XXXXOOO  ;1102
OXXXOOO  ;1103
XOXXOOO  ;1104
XXOXOOO  ;1105
XXXOOOO  ;1106
       X ;1107
O      X ;1108
OX     X ;1109
 O     X ;1110
XO     X ;1111
OO     X ;1112
O X    X ;1113
 OX    X ;1114
OOX    X ;1115
  O    X ;1116
X O    X ;1117
O O    X ;1118
 XO    X ;1119
OXO    X ;1120
 OO    X ;1121
XOO    X ;1122
O  X   X ;1123
 O X   X ;1124
OO X   X ;1125
OOXX   X ;1126
  OX   X ;1127
O OX   X ;1128
OXOX   X ;1129
 OOX   X ;1130
XOOX   X ;1131
OOOX   X ;1132
   O   X ;1133
X  O   X ;1134
O  O   X ;1135
 X O   X ;1136
OX O   X ;1137
 O O   X ;1138
XO O   X ;1139
  XO   X ;1140
O XO   X ;1141
OXXO   X ;1142
 OXO   X ;1143
XOXO   X ;1144
OOXO   X ;1145
  OO   X ;1146
X OO   X ;1147
 XOO   X ;1148
XXOO   X ;1149
OXOO   X ;1150
XOOO   X ;1151
O   X  X ;1152
 O  X  X ;1153
OO  X  X ;1154
OOX X  X ;1155
  O X  X ;1156
O O X  X ;1157
OXO X  X ;1158
 OO X  X ;1159
XOO X  X ;1160
OOO X  X ;1161
OO XX  X ;1162
O OXX  X ;1163
 OOXX  X ;1164
OOOXX  X ;1165
   OX  X ;1166
O  OX  X ;1167
OX OX  X ;1168
 O OX  X ;1169
XO OX  X ;1170
OO OX  X ;1171
O XOX  X ;1172
 OXOX  X ;1173
OOXOX  X ;1174
  OOX  X ;1175
X OOX  X ;1176
O OOX  X ;1177
 XOOX  X ;1178
OXOOX  X ;1179
 OOOX  X ;1180
XOOOX  X ;1181
    O  X ;1182
X   O  X ;1183
O   O  X ;1184
 X  O  X ;1185
OX  O  X ;1186
 O  O  X ;1187
XO  O  X ;1188
  X O  X ;1189
O X O  X ;1190
OXX O  X ;1191
 OX O  X ;1192
XOX O  X ;1193
OOX O  X ;1194
  O O  X ;1195
X O O  X ;1196
 XO O  X ;1197
XXO O  X ;1198
OXO O  X ;1199
XOO O  X ;1200
   XO  X ;1201
O  XO  X ;1202
OX XO  X ;1203
 O XO  X ;1204
XO XO  X ;1205
OO XO  X ;1206
O XXO  X ;1207
 OXXO  X ;1208
OOXXO  X ;1209
  OXO  X ;1210
X OXO  X ;1211
O OXO  X ;1212
 XOXO  X ;1213
OXOXO  X ;1214
 OOXO  X ;1215
XOOXO  X ;1216
   OO  X ;1217
X  OO  X ;1218
 X OO  X ;1219
XX OO  X ;1220
OX OO  X ;1221
XO OO  X ;1222
  XOO  X ;1223
X XOO  X ;1224
O XOO  X ;1225
 XXOO  X ;1226
OXXOO  X ;1227
 OXOO  X ;1228
XOXOO  X ;1229
X OOO  X ;1230
 XOOO  X ;1231
XXOOO  X ;1232
O    X X ;1233
 O   X X ;1234
OO   X X ;1235
OOX  X X ;1236
  O  X X ;1237
O O  X X ;1238
OXO  X X ;1239
 OO  X X ;1240
XOO  X X ;1241
OOO  X X ;1242
OO X X X ;1243
O OX X X ;1244
 OOX X X ;1245
OOOX X X ;1246
   O X X ;1247
O  O X X ;1248
OX O X X ;1249
 O O X X ;1250
XO O X X ;1251
OO O X X ;1252
O XO X X ;1253
 OXO X X ;1254
OOXO X X ;1255
  OO X X ;1256
X OO X X ;1257
O OO X X ;1258
 XOO X X ;1259
OXOO X X ;1260
 OOO X X ;1261
XOOO X X ;1262
OO  XX X ;1263
O O XX X ;1264
 OO XX X ;1265
OOO XX X ;1266
OOOXXX X ;1267
O  OXX X ;1268
 O OXX X ;1269
OO OXX X ;1270
OOXOXX X ;1271
  OOXX X ;1272
O OOXX X ;1273
OXOOXX X ;1274
 OOOXX X ;1275
XOOOXX X ;1276
OOOOXX X ;1277
    OX X ;1278
O   OX X ;1279
OX  OX X ;1280
 O  OX X ;1281
XO  OX X ;1282
OO  OX X ;1283
O X OX X ;1284
 OX OX X ;1285
OOX OX X ;1286
  O OX X ;1287
X O OX X ;1288
O O OX X ;1289
 XO OX X ;1290
OXO OX X ;1291
 OO OX X ;1292
XOO OX X ;1293
O  XOX X ;1294
 O XOX X ;1295
OO XOX X ;1296
OOXXOX X ;1297
  OXOX X ;1298
O OXOX X ;1299
OXOXOX X ;1300
 OOXOX X ;1301
XOOXOX X ;1302
OOOXOX X ;1303
   OOX X ;1304
X  OOX X ;1305
O  OOX X ;1306
 X OOX X ;1307
OX OOX X ;1308
 O OOX X ;1309
XO OOX X ;1310
  XOOX X ;1311
O XOOX X ;1312
OXXOOX X ;1313
 OXOOX X ;1314
XOXOOX X ;1315
OOXOOX X ;1316
  OOOX X ;1317
X OOOX X ;1318
 XOOOX X ;1319
XXOOOX X ;1320
OXOOOX X ;1321
XOOOOX X ;1322
     O X ;1323
X    O X ;1324
O    O X ;1325
 X   O X ;1326
OX   O X ;1327
 O   O X ;1328
XO   O X ;1329
  X  O X ;1330
O X  O X ;1331
OXX  O X ;1332
 OX  O X ;1333
XOX  O X ;1334
OOX  O X ;1335
  O  O X ;1336
X O  O X ;1337
 XO  O X ;1338
XXO  O X ;1339
OXO  O X ;1340
XOO  O X ;1341
   X O X ;1342
O  X O X ;1343
OX X O X ;1344
 O X O X ;1345
XO X O X ;1346
OO X O X ;1347
O XX O X ;1348
 OXX O X ;1349
OOXX O X ;1350
  OX O X ;1351
X OX O X ;1352
